評価カテゴリ,質問ID,質問内容,評価ポイント,重要度,想定回答時間,評価基準,NGワード例,フォローアップ質問,面接段階
自己紹介,INTRO-001,まず、簡単に自己紹介をお願いします。お名前、経歴、現在の状況について教えてください。,コミュニケーション力、要点整理能力、第一印象、プレゼンテーション力,高,2-3分,簡潔で分かりやすい構成、適切な情報量、自信を持った話し方,えーと、うーん、特に言うことがない、緊張して,その経験の中で最も印象に残っていることは何ですか？,導入
パーソナル情報,PERS-001,学生時代に最も力を入れて取り組んだことと、そこから学んだことを教えてください。,継続力、学習能力、自己分析力、価値観,中,3-4分,具体的なエピソード、学びの深さ、現在への活用,特にない、普通に、覚えてない,その学びを現在どのように活かしていますか？,導入
パーソナル情報,PERS-002,あなたの長所と短所を教えてください。短所についてはどのように改善しようと取り組んでいますか？,自己認識力、改善意欲、誠実性、成長志向,中,3-4分,客観的な自己分析、具体的な改善策、実際の取り組み,短所はない、完璧主義すぎる、長所が思いつかない,同僚や友人からはどのような人だと言われますか？,導入
パーソナル情報,PERS-003,趣味や興味のあることについて教えてください。それがあなたの仕事にどのような影響を与えていますか？,人間性、多様性、バランス感覚、創造性,低,2-3分,具体的な活動内容、仕事との関連性、継続性,特にない、仕事だけ、時間がない,その趣味を通じて得た経験で仕事に活かしたものはありますか？,導入
キャリア志向,CAREER-001,5年後、10年後のキャリアビジョンを教えてください。そのために現在どのような準備をしていますか？,将来設計力、計画性、成長意欲、現実性,高,4-5分,具体的な目標設定、実現可能性、準備状況,わからない、とりあえず、なんとなく,そのビジョンと弊社での働き方はどう関連しますか？,中盤
価値観・人間性,VALUE-001,仕事をする上で最も大切にしている価値観や信念は何ですか？,価値観の明確さ、企業文化との適合性、一貫性,中,2-3分,明確な価値観、具体例による説明、企業理念との整合性,特にない、お金、楽をしたい,その価値観が試された具体的な場面はありますか？,中盤
技術スキル,TECH-001,これまでに経験した技術スタックと、最も得意とする技術について詳しく教えてください。,技術的知識の深さ、実務経験の具体性、技術への理解度,高,3-5分,具体的な技術名、使用期間、実装経験、課題解決事例を含む,なんとなく、よくわからない、適当に,その技術を選んだ理由は何ですか？,技術評価
問題解決能力,PROB-001,これまでの業務で最も困難だった技術的課題と、それをどのように解決したか教えてください。,問題分析力、解決アプローチ、論理的思考力,高,4-6分,STAR法（状況、課題、行動、結果）に沿った具体的な回答,運が良かった、誰かに任せた、諦めた,同じ問題が再発した場合、どう対策しますか？,技術評価
コミュニケーション,COMM-001,チームでの開発において、意見の相違があった際にどのように調整・解決しますか？,協調性、説得力、建設的な議論ができるか,中,2-4分,具体的な調整方法、相手の立場を考慮した回答,喧嘩する、無視する、上司に丸投げ,実際にそのような経験はありますか？,行動評価
学習意欲,LEARN-001,最近学習した新しい技術や知識について教えてください。それを学ぼうと思った理由も含めて。,自己学習能力、技術トレンドへの関心、成長意欲,中,3-4分,具体的な学習内容、学習方法、実践への応用,特にない、時間がない、必要性を感じない,その知識をどう活用していきたいですか？,成長性評価
志望動機,MOTI-001,なぜ弊社を志望されたのですか？また、入社後にどのような貢献をしたいと考えていますか？,企業研究の深さ、志望理由の明確さ、将来ビジョン,高,3-5分,企業の事業内容・文化への理解、具体的な貢献方法,なんとなく、お金のため、有名だから,他社との違いをどう感じていますか？,志望確認
ストレス耐性,STRESS-001,プレッシャーの多い環境や締切が厳しい状況で、どのように対処しますか？,ストレス管理能力、冷静な判断力、継続力,中,2-3分,具体的な対処法、経験に基づいた回答,パニックになる、逃げ出したくなる、体調を崩す,ストレス発散方法はありますか？,適性評価
リーダーシップ,LEAD-001,チームをリードした経験があれば、どのようにメンバーをモチベートしましたか？,リーダーシップスタイル、人材育成能力、チームワーク,中,3-4分,具体的な手法、成果、メンバーへの配慮,命令するだけ、放任主義、結果だけ求める,リーダーとして最も重要だと思うことは何ですか？,行動評価
逆質問対応,QUEST-001,最後に、弊社や職務について何かご質問はありますか？,企業への関心度、準備の深さ、積極性,中,3-5分,具体的で建設的な質問、企業研究の深さを示す内容,特にありません、給料はいくらですか、残業は多いですか,他にも気になることがあれば遠慮なくお聞きください,終了